"filename", "language", "TypeScript JSX", "CSS", "TypeScript", "XML", "comment", "blank", "total"
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\App.css", "CSS", 0, 4, 0, 0, 0, 1, 5
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\Login.tsx", "TypeScript JSX", 49, 0, 0, 0, 0, 7, 56
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\Map\Airport.ts", "TypeScript", 0, 0, 43, 0, 0, 2, 45
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\Map\Map.css", "CSS", 0, 39, 0, 0, 0, 3, 42
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\Map\Map.tsx", "TypeScript JSX", 196, 0, 0, 0, 8, 22, 226
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\Map\TrackingMarker.tsx", "TypeScript JSX", 73, 0, 0, 0, 2, 12, 87
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\Map\api.ts", "TypeScript", 0, 0, 107, 0, 1, 11, 119
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\assets\message.tsx", "TypeScript JSX", 5, 0, 0, 0, 0, 2, 7
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\assets\react.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\components\Alert\Alert.css", "CSS", 0, 20, 0, 0, 0, 3, 23
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\components\Alert\Alert.tsx", "TypeScript JSX", 33, 0, 0, 0, 0, 9, 42
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\components\Button\Button.module.css", "CSS", 0, 68, 0, 0, 0, 10, 78
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\components\Button\Button.tsx", "TypeScript JSX", 15, 0, 0, 0, 0, 4, 19
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\components\Input.tsx", "TypeScript JSX", 21, 0, 0, 0, 0, 4, 25
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\components\Like\Like.tsx", "TypeScript JSX", 19, 0, 0, 0, 0, 2, 21
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\components\ListGroup.tsx", "TypeScript JSX", 24, 0, 0, 0, 0, 5, 29
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\components\ListGroup\ListGroup.css", "CSS", 0, 0, 0, 0, 0, 1, 1
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\components\ListGroup\ListGroup.tsx", "TypeScript JSX", 36, 0, 0, 0, 0, 7, 43
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\components\ListGroup\index.ts", "TypeScript", 0, 0, 2, 0, 0, 1, 3
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\components\Modal\FuelView\FuelView.css", "CSS", 0, 18, 0, 0, 0, 4, 22
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\components\Modal\FuelView\FuelView.tsx", "TypeScript JSX", 63, 0, 0, 0, 0, 7, 70
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\components\Modal\Modal.css", "CSS", 0, 79, 0, 0, 0, 13, 92
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\components\Modal\Modal.tsx", "TypeScript JSX", 210, 0, 0, 0, 0, 7, 217
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\components\Modal\SearchBox.tsx", "TypeScript JSX", 95, 0, 0, 0, 0, 8, 103
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\components\Modal\ShopView\ShopView.css", "CSS", 0, 6, 0, 0, 0, 1, 7
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\components\Modal\ShopView\ShopView.tsx", "TypeScript JSX", 65, 0, 0, 0, 1, 7, 73
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\components\NavBar\NavBar.css", "CSS", 0, 38, 0, 0, 0, 4, 42
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\components\NavBar\NavBar.tsx", "TypeScript JSX", 64, 0, 0, 0, 1, 6, 71
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\index.css", "CSS", 0, 0, 0, 0, 0, 1, 1
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\main.tsx", "TypeScript JSX", 27, 0, 0, 0, 0, 6, 33
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\types\Airplane.ts", "TypeScript", 0, 0, 62, 0, 2, 5, 69
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\types\Carrier.ts", "TypeScript", 0, 0, 19, 0, 2, 3, 24
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\types\leaflet-marker-easing.d.ts", "TypeScript", 0, 0, 12, 0, 0, 2, 14
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\types\types.ts", "TypeScript", 0, 0, 2, 0, 0, 1, 3
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 1, 1, 2
"Total", "-", 995, 272, 247, 1, 18, 182, 1715
